figure_neuronIdx,figure_flag,figure_index,figure_layer,figure_measure
35,0,0.0320485142640308,l6,vs
94,0,0.0590397055862821,l6,vs
95,0,-0.141793447554617,l6,vs
101,0,0.0275410168123369,l6,vs
114,0,-0.0116257990665197,l6,vs
118,0,-0.0796200838865975,l6,vs
21,1,-0.160933161768152,l6,ls
22,0,-0.0460277775283484,l6,ls
23,0,0.00540731892358787,l6,ls
35,1,-0.258559415721681,l6,ls
94,0,-0.0413377616139337,l6,ls
95,0,-0.149195346379028,l6,ls
101,0,0.067591152708851,l6,ls
114,0,0.0448441554365628,l6,ls
118,1,0.230146077437212,l6,ls
